,A,B,C,D,E,F,G,H,I
0,0.02092543476877815,0.006756082080920676,-0.010127535362625542,0.017515606790407742,0.03581496863308263,0.01895939840732482,0.02783789207128511,0.02691025244110036,0.003554131541921918
1,-0.0034390507739429583,0.029773155914532605,0.030719368098653287,0.0314416379489264,-0.017809452935279437,-0.002586121830672541,0.006026252926887042,-0.002289445322802583,0.010375316175774068
2,-0.03740753889149799,-0.013578437824036144,-0.019351191996805264,0.028290292540403328,0.023141201258646386,-0.034248818634510486,-0.039703917974836904,-0.01185562734146362,-0.003716291778942287
3,0.015678791470202562,0.007755555061076787,0.009506550832664266,-0.04617560275552809,-0.04026432737482998,-0.017284638201182315,0.00946205634345599,0.04048876025563557,0.003934454744673795
4,-0.006718898382858267,0.0016766349125767895,0.00031018006232058756,0.0013648360088388272,-0.021736077134183504,0.0004450176026157761,0.02876286848082305,0.03696774638005101,-0.008497061799453788
5,-0.00020434080602684698,0.02483653572812389,0.016078459768256167,-0.016473456214989416,0.019784045626944195,-0.017293261893095033,0.0038559181080806463,0.03216550106122538,0.03394478737166959
6,-0.011634403924277672,-0.03012483812124225,0.0012796869343659188,0.006873405226308828,0.02546919191030706,0.021935315368930116,0.031182130627821127,0.0039005461264508584,0.007495805542019871
7,-0.011774647289454968,0.006241678550715765,-0.007834415270728971,0.013509363664901393,0.018777789451771106,0.013743546799378826,-0.011827074301558419,-0.02356200203167538,-0.0076840022184305355
8,0.021972635720666538,0.025896265111194413,0.05242126392500594,-0.03236434241637063,-0.020037025005511012,-0.05921756543478168,0.022927214581801324,0.011348794994644073,0.0029599425127110703
9,0.01280577965964774,0.023090098052507873,-0.014044477176698331,-0.02589344768004976,-0.018787465206303342,-0.00949996935366562,0.04417725310146803,0.025676324470385672,0.03298365321306644
10,-0.014363695199430239,-0.009353925207311866,-0.02063390645120596,0.014301543042530068,0.04344926932906676,0.031425662708408124,-0.0173784165117834,-0.0015276767771061125,0.005564289881968565
11,0.011652452655676345,-0.0015697705653918638,0.000789427242750026,-0.0014969769283957842,-0.003094698789549706,0.010211743006338713,0.015420065437651384,0.01039186075557929,0.04345100508292631
12,-0.024632246716605695,-0.0172575773221232,-0.023654003823735826,0.009301931757460073,-0.009212465770695077,-0.013462436420704734,-0.0315463121768066,-0.021661149193963076,-0.06599249252654302
13,0.04338749254361583,0.04772213183101679,0.026784328864769127,0.05601996425572555,0.07202646133602207,0.0633150419722699,0.0061389488459687456,0.042391240918597244,0.05425524613277688
14,-0.0257412053409426,-0.04749515258352711,-0.01586419977125562,-0.017965498088214932,0.007848229993992595,0.014638524044272268,-0.0036069965760933743,-0.025599510040064815,-0.024790104327140936
15,0.008882225045430264,0.005127332819382704,0.023900305865414622,0.0475242562535696,0.03684906949076241,0.016344034421984312,0.01175695704126907,0.032848452766782124,0.009039342704228018
16,-0.0014228734488275243,-0.011575996579396484,-0.000593574036926898,-0.007367013628497701,-0.0140834221996502,-0.006645018603278051,0.02930674734208657,0.006786774959675518,0.025115184257787564
17,0.016526138437092563,-0.0007338396455801579,0.0006910100888409507,-0.054465170783414237,-0.0946678760200871,-0.07397319701184497,0.007792834345813789,-0.040475159561985434,-0.0600631999682754
18,0.014892360931773712,-0.010324276205452567,0.01707194943278354,-0.0537861563141068,-0.04176406613588861,-0.06715249712629427,-0.004764284267289638,-0.021036963195717205,0.013930538611718933
