,Daily Price
0,303.24
1,300.68
2,304.9
3,301.59
4,299.24
5,309.38
6,316.61
7,312.8
8,306.28
9,304.62
10,304.74
11,299.09
12,304.73
13,319.09
14,314.86
15,324.38
16,324.47
17,318.28
18,317.57
19,314.91
20,312.48
21,312.51
22,311.91
23,315.96
24,320.25
25,322.74
26,316.39
27,317.19
28,310.91
29,313.87
30,305.31
31,300.48
32,301.33
33,300.91
34,306.49
35,311.03
36,319.49
37,319.43
38,317.32
39,300.63
40,304.64
41,305.26
42,271.39
43,271.34
44,280.49
45,282.12
46,282.8
47,288.88
48,284.27
49,293.03
50,286.98
51,288.16
52,289.1
53,285.5
54,286.49
55,282.7
56,280.52
57,276.03
58,277.8
59,281.33
60,271.53
61,265.38
62,264.09
63,266.64
64,259.73
65,263.69
66,261.28
67,260.54
68,258.02
69,259.29
70,256.52
71,260.97
72,254.82
73,254.65
74,257.2
75,258.85
76,254.18
77,240.77
78,248.05
79,246.52
80,257.22
81,258.77
82,256.58
83,260.49
84,258.98
85,261.06
86,256.02
87,252.99
88,254.28
89,241.56
90,238.78
91,242.6
92,247.95
93,250.22
94,255.51
95,247.55
96,250.72
97,247.73
98,247.17
99,249.7
100,248.72
101,246.64
102,255.02
103,248.56
104,246.78
105,275.05
106,268.6
107,272.01
108,269.49
109,264.04
110,263.87
111,272.03
112,273.32
113,272.13
114,264.58
115,260.78
116,258.82
117,268.08
118,264.84
119,263.75
120,263.48
121,265.54
122,272.01
123,263.81
124,271.62
125,265.63
126,271.9
127,271.97
128,272.93
129,277.27
130,274.49
131,276.67
132,281.48
133,278.34
134,273.59
135,268.74
136,272.32
137,279.22
138,284.99
139,281.9
140,286.57
141,291.22
142,280.7
143,289.38
144,288.45
145,292.31
146,286.87
147,269.8
148,269.25
149,269.81
150,281.82
151,279.82
152,280.49
153,280.83
154,277.45
155,274.38
156,278.06
157,282.82
158,277.49
159,289.12
160,285.57
161,282.44
162,276.6
163,270.69
164,270.5
165,271.75
166,275.05
167,280.89
168,253.71
169,258.07
170,260.97
171,257.48
172,255.85
173,263.64
174,257.48
175,263.73
176,272.34
177,267.71
178,262.8
179,264.34
180,266.38
181,270.1
182,272.12
183,267.37
184,260.66
185,261.99
186,266.92
187,275.39
188,270.82
189,289.6
190,291.32
191,286.73
192,291.97
193,299.65
194,305.61
195,305.89
196,303.53
197,301.63
198,301.38
199,302.79
200,311.67
201,310.53
202,313.96
203,309.89
204,312.12
205,301.89
206,307.92
207,311.82
208,312.06
209,311.71
210,306.93
211,309.48
212,310.9
213,311.86
214,316.48
215,317.45
216,322.73
217,310.15
218,324.76
219,324.37
220,327.94
221,323.13
222,317.77
223,311.75
224,307.03
225,315.17
226,313.66
227,316.2
228,318.92
229,324.26
230,320.26
231,318.89
232,321.19
233,327.13
234,322.16
235,320.72
236,320.47
237,319.59
238,319.78
239,319.82
240,316.37
241,320.6
242,315.47
243,319.28
244,317.41
245,318.89
246,319.06
247,311.45
248,321.59
249,322.77
250,322.69
251,330.02
