,Daily Price
0,295.79
1,294.46
2,291.03
3,300.23
4,304.83
5,314.07
6,303.8
7,306.73
8,305.91
9,305.53
10,312.7
11,311.94
12,310.39
13,309.9
14,303.33
15,300.36
16,301.9
17,297.89
18,293.87
19,292.75
20,288.97
21,300.27
22,310.87
23,308.44
24,308.42
25,303.78
26,306.76
27,316.77
28,318.57
29,314.02
30,310.63
31,314.36
32,319.27
33,313.63
34,311.14
35,305.98
36,306.08
37,307.12
38,307.02
39,301.31
40,295.15
41,299.58
42,288.81
43,290.01
44,286.98
45,288.15
46,287.66
47,280.35
48,272.86
49,286.48
50,278.78
51,285.24
52,290.39
53,290.66
54,284.45
55,289.73
56,292.5
57,284.1
58,280.03
59,283.21
60,282.17
61,282.34
62,281.71
63,252.07
64,248.03
65,257.5
66,260.53
67,251.71
68,248.8
69,253.3
70,251.84
71,248.21
72,246.77
73,248.74
74,246.04
75,256.99
76,245.67
77,251.24
78,242.1
79,248.71
80,235.52
81,233.76
82,241.14
83,244.98
84,247.33
85,239.76
86,237.88
87,240.66
88,238.06
89,234.23
90,232.51
91,241.93
92,241.64
93,234.37
94,238.01
95,236.21
96,238.32
97,231.84
98,229.41
99,231.06
100,228.58
101,229.93
102,234.98
103,234.15
104,233.49
105,234.47
106,232.35
107,231.61
108,233.62
109,229.51
110,234.27
111,233.01
112,238.36
113,244.44
114,239.87
115,236.87
116,239.06
117,239.91
118,246.16
119,241.82
120,240.56
121,246.32
122,227.97
123,224.33
124,229.63
125,228.33
126,235.14
127,244.99
128,242.48
129,242.71
130,241.19
131,243.22
132,243.94
133,248.58
134,243.04
135,241.66
136,243.3
137,241.35
138,239.49
139,236.76
140,236.16
141,233.18
142,227.4
143,242.45
144,242.82
145,255.71
146,245.27
147,240.64
148,239.44
149,234.23
150,229.67
151,234.1
152,237.41
153,235.01
154,235.8
155,235.26
156,234.9
157,229.14
158,229.18
159,233.32
160,235.26
161,236.33
162,247.19
163,244.22
164,244.12
165,249.7
166,247.23
167,242.1
168,271.47
169,268.56
170,270.84
171,277.39
172,284.37
173,293.51
174,292.01
175,290.27
176,287.63
177,281.2
178,292.92
179,287.94
180,294.89
181,294.34
182,290.09
183,289.89
184,300.4
185,295.67
186,298.13
187,296.3
188,296.72
189,262.11
190,254.42
191,256.58
192,258.9
193,262.16
194,253.24
195,257.97
196,262.61
197,274.73
198,271.26
199,271.16
200,264.5
201,269.75
202,272.33
203,265.39
204,274.84
205,269.69
206,270.91
207,269.52
208,272.71
209,270.32
210,275.05
211,271.9
212,277.25
213,287.18
214,283.13
215,277.0
216,289.06
217,289.09
218,299.7
219,296.63
220,295.39
221,287.5
222,300.13
223,292.88
224,282.92
225,271.53
226,274.93
227,286.17
228,282.56
229,288.29
230,290.17
231,291.38
232,291.4
233,283.78
234,288.96
235,284.26
236,283.71
237,284.24
238,287.99
239,286.49
240,286.42
241,282.02
242,275.01
243,281.7
244,289.17
245,294.84
246,294.71
247,286.25
248,286.02
249,281.13
250,282.72
251,282.58
