,Daily Price
0,246.59
1,241.3
2,239.57
3,241.39
4,246.02
5,254.35
6,243.32
7,248.26
8,244.09
9,240.16
10,242.74
11,249.9
12,249.14
13,249.83
14,250.0
15,248.61
16,246.18
17,241.42
18,243.91
19,237.16
20,235.18
21,243.52
22,240.85
23,247.14
24,248.4
25,249.6
26,243.6
27,253.87
28,248.89
29,247.18
30,246.4
31,253.43
32,253.97
33,245.09
34,238.5
35,249.01
36,241.81
37,240.54
38,240.9
39,235.26
40,230.95
41,237.52
42,273.33
43,266.56
44,260.21
45,262.15
46,263.1
47,255.01
48,256.1
49,259.68
50,259.55
51,265.17
52,265.81
53,264.56
54,261.1
55,263.89
56,258.0
57,262.19
58,259.09
59,265.47
60,269.94
61,268.94
62,271.82
63,268.59
64,264.84
65,259.1
66,266.92
67,261.55
68,261.48
69,259.83
70,256.01
71,253.14
72,256.91
73,254.92
74,257.53
75,253.86
76,258.54
77,254.93
78,261.57
79,251.41
80,249.83
81,248.24
82,249.01
83,255.24
84,232.15
85,229.35
86,229.57
87,230.39
88,220.15
89,220.43
90,222.73
91,223.62
92,221.74
93,224.39
94,214.43
95,219.32
96,224.11
97,226.93
98,233.75
99,229.76
100,222.28
101,210.5
102,209.23
103,216.8
104,215.46
105,210.28
106,195.22
107,197.75
108,208.13
109,212.31
110,213.3
111,218.16
112,208.46
113,208.78
114,215.57
115,213.22
116,208.87
117,205.23
118,206.08
119,198.34
120,196.96
121,195.65
122,193.73
123,197.96
124,202.87
125,208.49
126,214.46
127,210.33
128,215.81
129,212.57
130,205.34
131,209.02
132,203.73
133,207.93
134,207.17
135,212.73
136,202.97
137,209.83
138,212.86
139,211.37
140,215.16
141,213.04
142,216.34
143,215.76
144,207.97
145,215.65
146,218.07
147,229.3
148,234.45
149,232.4
150,235.23
151,240.78
152,238.61
153,235.07
154,240.2
155,248.52
156,238.6
157,243.79
158,247.98
159,243.63
160,249.25
161,244.74
162,235.67
163,237.23
164,236.7
165,239.73
166,245.62
167,246.63
168,224.61
169,221.81
170,228.62
171,232.54
172,227.87
173,228.33
174,222.37
175,225.02
176,229.38
177,224.4
178,225.85
179,227.17
180,223.71
181,215.15
182,218.54
183,219.76
184,234.18
185,237.04
186,234.84
187,240.61
188,236.25
189,267.64
190,268.26
191,266.92
192,268.07
193,267.1
194,261.98
195,267.44
196,270.98
197,266.56
198,264.25
199,262.52
200,267.7
201,264.1
202,267.24
203,266.27
204,275.71
205,280.19
206,269.97
207,268.69
208,268.19
209,276.45
210,251.2
211,252.23
212,255.87
213,255.61
214,254.17
215,255.37
216,261.95
217,252.29
218,252.68
219,247.3
220,250.15
221,256.71
222,262.56
223,257.65
224,259.17
225,257.05
226,263.33
227,270.28
228,265.97
229,264.31
230,262.18
231,263.91
232,262.46
233,262.28
234,268.24
235,262.44
236,267.49
237,265.48
238,266.2
239,267.32
240,267.22
241,263.27
242,257.3
243,263.61
244,261.86
245,260.47
246,256.69
247,262.36
248,256.53
249,260.11
250,262.89
251,260.07
